covered_entity_name,individuals_affected,type_of_breach,location_of_breached_information,breach_year,risk_level
School Employees' Benefit Trust,1371,Hacking/IT Incident,Network Server,2024,High
Palomar Health Medical Group,1140221,Hacking/IT Incident,Network Server,2024,High
Ascension Health,5466931,Hacking/IT Incident,Network Server,2024,High
"Atlanta Perinatal Consultants, LLP",1508,Hacking/IT Incident,Network Server,2024,High
Regional Obstetrical Consultants PC,25650,Hacking/IT Incident,Network Server,2024,High
"Georgia Kidney Associates, Inc.",9940,Theft,Other,2024,Low
"The Lash Group, LLC",15196,Hacking/IT Incident,Network Server,2024,High
"Neurobehavioral Medicine Consultants, P.C.",18182,Hacking/IT Incident,Network Server,2024,High
ASBESTOS WORKERS LOCAL 42 WELFARE PLAN,520,Hacking/IT Incident,Network Server,2024,High
"Signature Performance, Inc.",130228,Hacking/IT Incident,Network Server,2024,High
Community Alliance Rehabilitation Services,10750,Hacking/IT Incident,Network Server,2024,High
Insurance ACE/Humana Inc.,15003,Unauthorized Access/Disclosure,Paper/Films,2024,Medium
Panorama Eyecare,377911,Hacking/IT Incident,Network Server,2024,High
"AmerisourceBergen Specialty Group, LLC",3102,Hacking/IT Incident,Network Server,2024,High
"AmerisourceBergen Specialty Group, LLC",252214,Hacking/IT Incident,Network Server,2024,High
A&A Services d/b/a Sav-Rx,2812336,Hacking/IT Incident,Network Server,2024,High
"Trionfo Solutions, LLC",81588,Hacking/IT Incident,Network Server,2024,High
Omni Healthcare Financial Holdings,16852,Hacking/IT Incident,Network Server,2024,High
Victoria Eye Center/Victoria Surgery Center/Victoria Vision Center,80000,Hacking/IT Incident,Network Server,2024,High
"Pope & Conner Consulting, Inc.",1035,Hacking/IT Incident,Email,2024,High
Medical Express Ambulance Inc.  D/B/A Medex Ambulance,121190,Hacking/IT Incident,Network Server,2024,High
Kootenai Health,464088,Hacking/IT Incident,Network Server,2024,High
NorthBay Healthcare Corporation,569012,Hacking/IT Incident,Network Server,2024,High
"Cumberland Heights Foundation, Inc.",5078,Hacking/IT Incident,Email,2024,High
Delta Health System,216532,Hacking/IT Incident,Network Server,2024,High
"Vail Summit Orthopaedics, LLC (“VSON”)",1138,Hacking/IT Incident,Network Server,2024,High
"Bradford Health Services, LLC",28543,Hacking/IT Incident,Network Server,2024,High
Bloom Health Centers,1954,Hacking/IT Incident,Email,2024,High
Marathon County Special Education,10079,Hacking/IT Incident,Email,2023,High
Community Dental,1523,Hacking/IT Incident,Network Server,2023,High
Claxton-Hepburn Medical Center,757,Hacking/IT Incident,Network Server,2023,High
Premier Health Partners and wholly owned covered entities listed in description section below,10833,Hacking/IT Incident,Network Server,2023,High
