covered_entity_name,state,covered_entity_type,individuals_affected,breach_submission_date,type_of_breach,location_of_breached_information,risk_level
Cottage Hospital,NH,Healthcare Provider,1005,2026-02-06,Hacking/IT Incident,Network Server,High
"Altior Healthcare, LLC",CA,Healthcare Provider,1002,2025-04-11,Hacking/IT Incident,Email,High
Welcome Dentistry-Los Angeles,CA,Healthcare Provider,1001,2025-08-13,Hacking/IT Incident,Network Server,High
Welcome Dentistry-Anaheim,CA,Healthcare Provider,1001,2025-08-15,Hacking/IT Incident,Network Server,High
"VirMedice, LLC",AZ,Business Associate,1000,2025-10-25,Hacking/IT Incident,Network Server,High
"Southern Oregon Neurosurgical and Spine Associates, PC",OR,Healthcare Provider,1000,2025-12-09,Hacking/IT Incident,Email,High
Prime Care 12 Priority Health,WV,Healthcare Provider,1000,2026-04-20,Hacking/IT Incident,Network Server,High
Insurance ACE/Humana Inc.,KY,Health Plan,1000,2026-02-28,Hacking/IT Incident,Network Server,High
Northwest Asthma and Allergy Center,WA,Healthcare Provider,1000,2024-12-12,Hacking/IT Incident,Email,High
North Penn Comprehensive Health Services d.b.a Laurel Health Centers,PA,Healthcare Provider,991,2025-09-12,Hacking/IT Incident,Email,High
Bardmoor Cancer Center,FL,Healthcare Provider,991,2025-06-27,Hacking/IT Incident,Email,High
Cerenade,CA,Business Associate,987,2025-11-30,Hacking/IT Incident,Network Server,High
Judson Center,MI,Healthcare Provider,976,2025-10-31,Hacking/IT Incident,Network Server,High
Blue Cross and Blue Shield of North Carolina,NC,Business Associate,972,2024-08-27,Hacking/IT Incident,Network Server,High
"Steel Encounters, Inc.",UT,Healthcare Provider,959,2025-12-31,Hacking/IT Incident,Network Server,High
Samaritan Counseling Center of the Fox Valley,WI,Healthcare Provider,956,2025-01-10,Hacking/IT Incident,Email,High
Community Treatment Solutions,NJ,Healthcare Provider,950,2025-01-16,Hacking/IT Incident,Network Server,High
Team Select,AZ,Healthcare Provider,949,2026-03-12,Hacking/IT Incident,"Network Server, Other",High
Elmore County,ID,Healthcare Provider,931,2025-06-13,Hacking/IT Incident,Email,High
Methodist Homes of Alabama and Northwest Florida,AL,Healthcare Provider,908,2025-01-30,Hacking/IT Incident,Network Server,High
"Instabase, Inc.",DE,Health Plan,908,2026-04-13,Hacking/IT Incident,Network Server,High
The Carpenter Health Network,LA,Healthcare Provider,878,2025-05-06,Hacking/IT Incident,Network Server,High
"Branch Metrics, Inc.",CA,Health Plan,857,2026-04-10,Hacking/IT Incident,Network Server,High
The Chase Group Employee Benefit Plan,NM,Health Plan,817,2025-11-06,Hacking/IT Incident,Network Server,High
Advanced Healthcare Professionals,TX,Healthcare Provider,800,2025-12-31,Hacking/IT Incident,Network Server,High
Horizon Blue Cross Blue Shield NJ,NJ,Health Plan,781,2025-05-30,Hacking/IT Incident,Network Server,High
Kelley Drye & Warren LLP,NY,Business Associate,771,2025-06-12,Hacking/IT Incident,Network Server,High
Claxton-Hepburn Medical Center,NY,Healthcare Provider,757,2023-11-02,Hacking/IT Incident,Network Server,High
VNS Behavioral Health Inc. (“VNS Health”),NY,Healthcare Provider,739,2026-02-18,Hacking/IT Incident,Email,High
Columbus Division of Fire,OH,Healthcare Provider,736,2025-02-10,Hacking/IT Incident,Network Server,High
"BeyondFaith Homecare & Rehab, LLC",TX,Healthcare Provider,708,2026-03-19,Hacking/IT Incident,"Electronic Medical Record, Network Server",High
"Newburgh Healthcare Residential Center, Inc.",IN,Healthcare Provider,700,2025-04-04,Hacking/IT Incident,Network Server,High
"Allegany Council on Alcoholism & Substance Abuse, Inc.",NY,Healthcare Provider,696,2025-04-02,Hacking/IT Incident,Email,High
WindRose Health Network,IN,Healthcare Provider,691,2026-01-27,Hacking/IT Incident,Network Server,High
"Village Heart Seller, PC d/b/a Village Heart & Vein Center",FL,Healthcare Provider,687,2026-04-03,Hacking/IT Incident,Email,High
Interim HealthCare of Amarillo,TX,Healthcare Provider,666,2026-04-23,Hacking/IT Incident,Network Server,High
"Personalis, Inc.",CA,Healthcare Provider,650,2026-02-04,Hacking/IT Incident,Email,High
"Northeast Professional Home Care, Inc.",OH,Healthcare Provider,648,2024-11-01,Hacking/IT Incident,Email,High
California Cancer Associates for Research and Excellence – San Diego,CA,Healthcare Provider,638,2025-06-27,Hacking/IT Incident,Email,High
OrthoAtlanta LLC,GA,Business Associate,626,2025-07-21,Hacking/IT Incident,Email,High
"VirtuOx, LLC",FL,Healthcare Provider,621,2026-03-24,Hacking/IT Incident,"Network Server, Other",High
"Repay Management Services, LLC",GA,Health Plan,606,2025-06-10,Hacking/IT Incident,Network Server,High
Revere Health PC,UT,Healthcare Provider,605,2025-08-19,Hacking/IT Incident,Desktop Computer,High
SSM Health,OK,Healthcare Provider,597,2026-03-11,Hacking/IT Incident,Network Server,High
Welcome Health,CA,Healthcare Provider,597,2024-09-06,Hacking/IT Incident,Email,High
Palo Verde Hospital,CA,Healthcare Provider,594,2025-04-24,Hacking/IT Incident,Network Server,High
"Wellpoint, Inc.",IN,Business Associate,579,2025-10-07,Hacking/IT Incident,Network Server,High
"Walpole Area Visiting Nurse Association, Inc.",MA,Healthcare Provider,566,2026-03-16,Hacking/IT Incident,Network Server,High
Center for Urologic Care of Berks CO,PA,Healthcare Provider,543,2025-11-26,Hacking/IT Incident,Network Server,High
Broadwest Specialty Surgical Center,IN,Healthcare Provider,536,2025-06-17,Hacking/IT Incident,Network Server,High
Belmont Aesthetic and Reconstructive Plastic Surgery,VA,Healthcare Provider,528,2026-04-23,Hacking/IT Incident,Network Server,High
ASBESTOS WORKERS LOCAL 42 WELFARE PLAN,GA,Health Plan,520,2024-06-11,Hacking/IT Incident,Network Server,High
"ARC Community Services, Inc.",WI,Healthcare Provider,501,2025-02-02,Hacking/IT Incident,Network Server,High
"CareSTL Health, Inc.",MO,Healthcare Provider,501,2025-10-03,Hacking/IT Incident,Network Server,High
"Benefits Management Group, Inc.",IL,Business Associate,501,2025-01-24,Hacking/IT Incident,Network Server,High
Central Texas MHMR Center dba Center for Life Resource,TX,Healthcare Provider,501,2026-01-16,Hacking/IT Incident,Network Server,High
Healthcare Interactive,MD,Business Associate,501,2025-09-22,Hacking/IT Incident,Network Server,High
Baptist Hospitals of Southeast Texas,TX,Healthcare Provider,501,2025-03-28,Hacking/IT Incident,Network Server,High
"Precipio, Inc.",CT,Healthcare Provider,501,2026-01-23,Hacking/IT Incident,Network Server,High
Middlesex Sheriff's Office,MA,Healthcare Provider,501,2026-01-20,Hacking/IT Incident,Network Server,High
"Home, Hope and Healing, Inc.",ME,Healthcare Provider,501,2026-01-09,Hacking/IT Incident,Network Server,High
Coos County Family Health Services,NH,Healthcare Provider,501,2025-09-05,Hacking/IT Incident,Network Server,High
North Hudson Community Action Corporation,NJ,Healthcare Provider,501,2025-03-28,Hacking/IT Incident,Network Server,High
Dermatology Associates of Concord,MA,Healthcare Provider,501,2025-11-18,Hacking/IT Incident,Network Server,High
North Atlantic States Carpenters Health Benefits Fund,MA,Health Plan,501,2025-10-17,Hacking/IT Incident,Network Server,High
"Friendship House, Inc.",NE,Healthcare Provider,501,2025-04-04,Hacking/IT Incident,Network Server,High
Loretto Hospital,IL,Healthcare Provider,501,2025-04-04,Hacking/IT Incident,Network Server,High
"Coalesce, LLC dba Benefitelect",AZ,Business Associate,501,2025-10-15,Hacking/IT Incident,Network Server,High
"Minnesota Orthodontics and Dentofacial Orthopedics, P.A.",MN,Healthcare Provider,501,2025-05-05,Hacking/IT Incident,Network Server,High
CardioVascular Health Clinic,OK,Healthcare Provider,501,2025-05-03,Hacking/IT Incident,Network Server,High
DermCare Management,FL,Business Associate,501,2025-05-02,Hacking/IT Incident,Network Server,High
"Mary B. Toporcer, MD, P.C.",PA,Healthcare Provider,501,2025-05-28,Hacking/IT Incident,Email,High
"Doctors Hospital at Renaissance, LTD",TX,Healthcare Provider,501,2025-05-15,Hacking/IT Incident,Network Server,High
Washington Gastroenterology,WA,Healthcare Provider,501,2025-05-09,Hacking/IT Incident,Network Server,High
Community Health Action of Staten Island,NY,Healthcare Provider,501,2026-03-09,Hacking/IT Incident,Email,High
Marin Cancer Care,CA,Healthcare Provider,501,2026-02-06,Hacking/IT Incident,Network Server,High
Issaqueena Pediatric Dentistry PA,SC,Healthcare Provider,501,2026-02-04,Hacking/IT Incident,Network Server,High
Resource Corporation of America,TX,Business Associate,501,2026-02-13,Hacking/IT Incident,Network Server,High
Carolina Foot & Ankle Associates,NC,Healthcare Provider,501,2026-02-09,Hacking/IT Incident,Network Server,High
Diversified Services Enterprises,FL,Business Associate,501,2025-06-13,Hacking/IT Incident,Network Server,High
Cedar Valley Services,MN,Healthcare Provider,501,2026-02-13,Hacking/IT Incident,Network Server,High
Greater St. Louis Oral & Maxillofacial Surgery PC,MO,Healthcare Provider,501,2025-12-04,Hacking/IT Incident,Email,High
PDCM Insurance,IA,Business Associate,501,2025-06-27,Hacking/IT Incident,Network Server,High
Human Development Services of Westchester,NY,Healthcare Provider,501,2025-07-18,Hacking/IT Incident,Email,High
Naper Grove Vision Care,IL,Healthcare Provider,501,2025-07-10,Hacking/IT Incident,Network Server,High
Reproductive Medicine Associates of Michigan,MI,Healthcare Provider,501,2025-12-19,Hacking/IT Incident,Network Server,High
Mitchell County Department of Social Services,NC,Healthcare Provider,501,2025-12-19,Hacking/IT Incident,Network Server,High
"Nationwide Recovery Services, Inc.",GA,Business Associate,501,2024-09-09,Hacking/IT Incident,Network Server,High
"Spokane Digestive Disease Center, P.S.",WA,Healthcare Provider,501,2026-04-20,Hacking/IT Incident,Email,High
"Associated Radiologists of the Finger Lakes, P.C.",NY,Business Associate,501,2025-12-29,Hacking/IT Incident,Network Server,High
"Baltimore Medical System, Inc.",MA,Healthcare Provider,501,2025-12-12,Hacking/IT Incident,Network Server,High
"EMS Department for the Kansas City, Kansas Fire Department",KS,Healthcare Provider,501,2024-07-20,Hacking/IT Incident,Network Server,High
Glendale Obstetrics & Gynecology PCA,AZ,Healthcare Provider,501,2025-12-24,Hacking/IT Incident,Network Server,High
PROVAIL,WA,Healthcare Provider,501,2025-08-08,Hacking/IT Incident,Network Server,High
"CareTracker, Inc.",NY,Business Associate,501,2025-08-18,Hacking/IT Incident,Network Server,High
Mower County Health and Human Services,MN,Healthcare Provider,501,2025-08-15,Hacking/IT Incident,Network Server,High
"La Perouse, LLC",NV,Business Associate,501,2025-09-02,Hacking/IT Incident,Network Server,High
AltaMed Health Services Corporation,CA,Healthcare Provider,501,2026-02-26,Hacking/IT Incident,Network Server,High
Vance County Department of Social Services,NC,Business Associate,501,2025-08-22,Hacking/IT Incident,Network Server,High
Laboratory Services Cooperative,WA,Healthcare Provider,501,2024-11-20,Hacking/IT Incident,Network Server,High
Devereux Foundation,PA,Healthcare Provider,501,2026-01-08,Hacking/IT Incident,Network Server,High
Dragonfly Health,AZ,Business Associate,501,2024-12-27,Hacking/IT Incident,Email,High
SimonMed Imaging,AZ,Healthcare Provider,500,2025-03-27,Hacking/IT Incident,Network Server,High
Anne Arundel County Department of Health,MD,Healthcare Provider,500,2025-05-15,Hacking/IT Incident,Network Server,High
"Berkeley Research Group, LLC",CA,Business Associate,500,2025-04-30,Hacking/IT Incident,Network Server,High
"Welts, White, & Fontaine PC",NH,Business Associate,500,2025-03-14,Hacking/IT Incident,Network Server,High
Doctors’ Memorial Hospital,FL,Healthcare Provider,500,2025-07-25,Hacking/IT Incident,Network Server,High
CARE Clinic,MN,Healthcare Provider,500,2026-04-10,Hacking/IT Incident,Email,High
County of Catawba,NC,Health Plan,500,2025-11-19,Hacking/IT Incident,Network Server,High
Sharp HealthCare,CA,Healthcare Provider,500,2025-06-06,Hacking/IT Incident,Network Server,High
Columbia Eye Clinic,SC,Healthcare Provider,500,2025-03-14,Hacking/IT Incident,Network Server,High
"Alexes Hazen MD, PLLC",NY,Healthcare Provider,500,2026-02-12,Hacking/IT Incident,"Email, Network Server",High
Securian Financial,MN,Health Plan,500,2026-03-25,Hacking/IT Incident,Network Server,High
"Heywood Healthcare Inc. including Henry Heywood Memorial Hospital, Athol Memorial Hospital, and Heywood Medical Group, Inc. (“Heywood”)",MA,Healthcare Provider,500,2025-12-12,Hacking/IT Incident,Network Server,High
McEwen & Associates,TX,Business Associate,500,2025-08-21,Hacking/IT Incident,Network Server,High
McEwen & Associates,TX,Business Associate,500,2025-08-21,Hacking/IT Incident,Network Server,High
Kitsap Mental Health Services,WA,Healthcare Provider,500,2024-12-16,Hacking/IT Incident,Network Server,High
Friesen Group,CA,Healthcare Provider,500,2025-08-08,Hacking/IT Incident,Network Server,High
Kin Counseling Services PLLC,CO,Healthcare Provider,500,2026-03-02,Hacking/IT Incident,Email,High
Madison Healthcare Services,MN,Healthcare Provider,500,2025-12-02,Hacking/IT Incident,Network Server,High
"CPS Solutions, LLC",OH,Business Associate,500,2025-02-10,Hacking/IT Incident,Email,High
Hale Makua Health Services,HI,Healthcare Provider,500,2025-10-29,Hacking/IT Incident,Network Server,High
McEwen & Associates,TX,Business Associate,500,2025-08-21,Hacking/IT Incident,Network Server,High
North Los Angeles County Regional Center,CA,Business Associate,500,2025-01-06,Hacking/IT Incident,Network Server,High
Humboldt Independent Practice Association (Humboldt IPA),CA,Healthcare Provider,500,2024-11-11,Hacking/IT Incident,Email,High
Maryville Academy,IL,Healthcare Provider,500,2024-09-13,Hacking/IT Incident,Network Server,High
Roseland Community Hospital Association,IL,Healthcare Provider,500,2024-08-01,Hacking/IT Incident,Network Server,High
